Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos;
10/9/2024;14;Pesados 2 Ejes;PB3;Violación - Normal;Provincia;Violación;7;
10/9/2024;14;Pesados 2 Ejes;PB4;Mercado Pago;Centro;Mercado Pago;6;
10/9/2024;14;Pesados 2 Ejes;PB4;Mercado Pago OCR;Centro;Mercado Pago;3;
10/9/2024;14;Pesados 2 Ejes;PB4;Tag - PosPago;Centro;Tag;140;
10/9/2024;14;Pesados 2 Ejes;PB4;Tag - PosPago OCR;Centro;Tag;38;
10/9/2024;14;Pesados 2 Ejes;PB4;Violación - Normal;Centro;Violación;11;
10/9/2024;14;Pesados 2 Ejes;PB5;Tag - PosPago;Provincia;Tag;12;
10/9/2024;14;Pesados 2 Ejes;PB5;Tag - PosPago OCR;Provincia;Tag;1;
10/9/2024;14;Pesados 2 Ejes;PB6;Tag - PosPago;Centro;Tag;6;
10/9/2024;14;Pesados 2 Ejes;PB6;Tag - PosPago OCR;Centro;Tag;2;
10/9/2024;14;Pesados 2 Ejes;SAL;Tag - PosPago;Provincia;Tag;16;
10/9/2024;14;Pesados 2 Ejes;SAL;Tag - PosPago OCR;Provincia;Tag;2;
10/9/2024;14;Pesados 2 Ejes;SAL;Violación - Normal;Provincia;Violación;2;
10/9/2024;14;Pesados 2 Ejes;SAR;Mercado Pago;Provincia;Mercado Pago;1;
10/9/2024;14;Pesados 2 Ejes;SAR;Tag - PosPago;Provincia;Tag;3;
10/9/2024;14;Pesados 2 Ejes;SAR;Tag - PosPago OCR;Provincia;Tag;4;
10/9/2024;14;Pesados 3 Ejes;ALB;Tag - PosPago;Centro;Tag;1;
10/9/2024;14;Pesados 3 Ejes;ALB;Tag - PosPago;Provincia;Tag;1;
10/9/2024;14;Pesados 3 Ejes;ALB;Tag - PosPago OCR;Centro;Tag;1;
10/9/2024;14;Pesados 3 Ejes;ALB;Tag - PosPago OCR;Provincia;Tag;1;
10/9/2024;14;Pesados 3 Ejes;AVE;Exento - Otros motivos;Provincia;Exento;1;
10/9/2024;14;Pesados 3 Ejes;AVE;Mercado Pago;Centro;Mercado Pago;1;
10/9/2024;14;Pesados 3 Ejes;AVE;Mercado Pago;Provincia;Mercado Pago;2;
10/9/2024;14;Pesados 3 Ejes;AVE;Mercado Pago OCR;Provincia;Mercado Pago;2;
10/9/2024;14;Pesados 3 Ejes;AVE;Paso en Infracción;Provincia;Rec.Deuda;3;
10/9/2024;14;Pesados 3 Ejes;AVE;Tag - Exento;Centro;Tag;1;
10/9/2024;14;Pesados 3 Ejes;AVE;Tag - PosPago;Centro;Tag;33;
10/9/2024;14;Pesados 3 Ejes;AVE;Tag - PosPago;Provincia;Tag;29;
10/9/2024;14;Pesados 3 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;12;
10/9/2024;14;Pesados 3 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;27;
10/9/2024;14;Pesados 3 Ejes;DEC;Tag - PosPago;Centro;Tag;35;
10/9/2024;14;Pesados 3 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;8;
10/9/2024;14;Pesados 3 Ejes;DEC;Violación - Normal;Centro;Violación;2;
10/9/2024;14;Pesados 3 Ejes;DEL;Efectivo;Provincia;Efectivo;1;
10/9/2024;14;Pesados 3 Ejes;DEL;Mercado Pago;Provincia;Mercado Pago;1;
10/9/2024;14;Pesados 3 Ejes;DEL;Paso a facturar - (colectivo);Provincia;Rec.Deuda;1;
10/9/2024;14;Pesados 3 Ejes;DEL;Paso en Infracción;Provincia;Rec.Deuda;2;
10/9/2024;14;Pesados 3 Ejes;DEL;Tag - PosPago;Provincia;Tag;22;
10/9/2024;14;Pesados 3 Ejes;DEL;Tag - PosPago OCR;Provincia;Tag;7;
10/9/2024;14;Pesados 3 Ejes;DEL;Violación - Normal;Provincia;Violación;2;
10/9/2024;14;Pesados 3 Ejes;KDT;Mercado Pago;Centro;Mercado Pago;1;
10/9/2024;14;Pesados 3 Ejes;KDT;Mercado Pago;Provincia;Mercado Pago;2;
10/9/2024;14;Pesados 3 Ejes;KDT;Tag - PosPago;Centro;Tag;51;
10/9/2024;14;Pesados 3 Ejes;KDT;Tag - PosPago;Provincia;Tag;52;
10/9/2024;14;Pesados 3 Ejes;KDT;Tag - PosPago OCR;Centro;Tag;8;
10/9/2024;14;Pesados 3 Ejes;KDT;Tag - PosPago OCR;Provincia;Tag;12;
10/9/2024;14;Pesados 3 Ejes;KDT;Violación - Normal;Centro;Violación;2;
10/9/2024;14;Pesados 3 Ejes;PB1;Mercado Pago;Provincia;Mercado Pago;3;
10/9/2024;14;Pesados 3 Ejes;PB1;Tag - PosPago;Provincia;Tag;58;
10/9/2024;14;Pesados 3 Ejes;PB1;Tag - PosPago OCR;Provincia;Tag;6;
10/9/2024;14;Pesados 3 Ejes;PB1;Violación - Normal;Provincia;Violación;2;
10/9/2024;14;Pesados 3 Ejes;PB2;Mercado Pago;Centro;Mercado Pago;2;
10/9/2024;14;Pesados 3 Ejes;PB2;Tag - PosPago;Centro;Tag;40;
10/9/2024;14;Pesados 3 Ejes;PB2;Tag - PosPago OCR;Centro;Tag;17;
10/9/2024;14;Pesados 3 Ejes;PB2;Violación - Normal;Centro;Violación;2;
10/9/2024;14;Pesados 3 Ejes;PB3;Mercado Pago;Provincia;Mercado Pago;2;
10/9/2024;14;Pesados 3 Ejes;PB3;Tag - PosPago;Provincia;Tag;46;
10/9/2024;14;Pesados 3 Ejes;PB3;Tag - PosPago OCR;Provincia;Tag;8;
10/9/2024;14;Pesados 3 Ejes;PB4;Mercado Pago;Centro;Mercado Pago;1;
10/9/2024;14;Pesados 3 Ejes;PB4;Tag - PosPago;Centro;Tag;37;
10/9/2024;14;Pesados 3 Ejes;PB4;Tag - PosPago OCR;Centro;Tag;15;
10/9/2024;14;Pesados 3 Ejes;PB4;Violación - Normal;Centro;Violación;4;
10/9/2024;14;Pesados 3 Ejes;PB5;Tag - PosPago;Provincia;Tag;10;
10/9/2024;14;Pesados 3 Ejes;PB6;Tag - PosPago;Centro;Tag;4;
10/9/2024;14;Pesados 3 Ejes;PB6;Tag - PosPago OCR;Centro;Tag;1;
10/9/2024;14;Pesados 3 Ejes;PB6;Violación - Normal;Centro;Violación;1;
10/9/2024;14;Pesados 3 Ejes;SAL;Tag - PosPago;Provincia;Tag;1;
10/9/2024;14;Pesados 4 Ejes;ALB;Tag - PosPago;Provincia;Tag;1;
10/9/2024;14;Pesados 4 Ejes;ALB;Violación - Normal;Centro;Violación;1;
10/9/2024;14;Pesados 4 Ejes;AVE;Efectivo;Centro;Efectivo;2;
10/9/2024;14;Pesados 4 Ejes;AVE;Exento - Otros motivos;Centro;Exento;1;
10/9/2024;14;Pesados 4 Ejes;AVE;Exento - Otros motivos;Provincia;Exento;1;
10/9/2024;14;Pesados 4 Ejes;AVE;Paso en Infracción;Centro;Rec.Deuda;1;
10/9/2024;14;Pesados 4 Ejes;AVE;Tag - PosPago;Centro;Tag;14;
10/9/2024;14;Pesados 4 Ejes;AVE;Tag - PosPago;Provincia;Tag;11;
10/9/2024;14;Pesados 4 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;3;
10/9/2024;14;Pesados 4 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;5;
10/9/2024;14;Pesados 4 Ejes;DEC;Efectivo;Centro;Efectivo;1;
10/9/2024;14;Pesados 4 Ejes;DEC;Paso en Infracción;Centro;Rec.Deuda;1;
10/9/2024;14;Pesados 4 Ejes;DEC;Tag - PosPago;Centro;Tag;13;
10/9/2024;14;Pesados 4 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;1;
10/9/2024;14;Pesados 4 Ejes;DEC;Violación - Normal;Centro;Violación;2;
10/9/2024;14;Pesados 4 Ejes;DEL;Paso en Infracción;Provincia;Rec.Deuda;1;
10/9/2024;14;Pesados 4 Ejes;DEL;Tag - PosPago;Provincia;Tag;9;
10/9/2024;14;Pesados 4 Ejes;DEL;Tag - PosPago OCR;Provincia;Tag;3;
10/9/2024;14;Pesados 4 Ejes;DEL;Violación - Normal;Provincia;Violación;7;
10/9/2024;14;Pesados 4 Ejes;KDT;Tag - PosPago;Centro;Tag;25;
10/9/2024;14;Pesados 4 Ejes;KDT;Tag - PosPago;Provincia;Tag;18;
10/9/2024;14;Pesados 4 Ejes;KDT;Tag - PosPago OCR;Centro;Tag;5;
10/9/2024;14;Pesados 4 Ejes;KDT;Tag - PosPago OCR;Provincia;Tag;2;
10/9/2024;14;Pesados 4 Ejes;PB1;Tag - PosPago;Provincia;Tag;18;
10/9/2024;14;Pesados 4 Ejes;PB1;Tag - PosPago OCR;Provincia;Tag;2;
10/9/2024;14;Pesados 4 Ejes;PB2;Tag - PosPago;Centro;Tag;33;
10/9/2024;14;Pesados 4 Ejes;PB2;Tag - PosPago OCR;Centro;Tag;6;
10/9/2024;14;Pesados 4 Ejes;PB3;Tag - PosPago;Provincia;Tag;13;
10/9/2024;14;Pesados 4 Ejes;PB3;Tag - PosPago OCR;Provincia;Tag;1;
10/9/2024;14;Pesados 4 Ejes;PB4;Tag - PosPago;Centro;Tag;24;
10/9/2024;14;Pesados 4 Ejes;PB4;Tag - PosPago OCR;Centro;Tag;2;
10/9/2024;14;Pesados 4 Ejes;PB4;Violación - Normal;Centro;Violación;1;
10/9/2024;14;Pesados 4 Ejes;PB5;Tag - PosPago;Provincia;Tag;1;
10/9/2024;14;Pesados 5 Ejes;ALB;Violación - Normal;Provincia;Violación;1;
10/9/2024;14;Pesados 5 Ejes;AVE;Efectivo;Provincia;Efectivo;3;
10/9/2024;14;Pesados 5 Ejes;AVE;Exento - Otros motivos;Provincia;Exento;4;
10/9/2024;14;Pesados 5 Ejes;AVE;Mercado Pago;Centro;Mercado Pago;4;
10/9/2024;14;Pesados 5 Ejes;AVE;Mercado Pago OCR;Provincia;Mercado Pago;1;
10/9/2024;14;Pesados 5 Ejes;AVE;Paso en Infracción;Centro;Rec.Deuda;2;
10/9/2024;14;Pesados 5 Ejes;AVE;Paso en Infracción;Provincia;Rec.Deuda;8;
10/9/2024;14;Pesados 5 Ejes;AVE;Tag - Exento;Centro;Tag;4;
10/9/2024;14;Pesados 5 Ejes;AVE;Tag - PosPago;Centro;Tag;57;
10/9/2024;14;Pesados 5 Ejes;AVE;Tag - PosPago;Provincia;Tag;23;
10/9/2024;14;Pesados 5 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;11;
10/9/2024;14;Pesados 5 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;30;
10/9/2024;14;Pesados 5 Ejes;DEC;Efectivo;Centro;Efectivo;1;
10/9/2024;14;Pesados 5 Ejes;DEC;Mercado Pago;Centro;Mercado Pago;1;
10/9/2024;14;Pesados 5 Ejes;DEC;Paso en Infracción;Centro;Rec.Deuda;1;
10/9/2024;14;Pesados 5 Ejes;DEC;Tag - PosPago;Centro;Tag;35;
10/9/2024;14;Pesados 5 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;5;
10/9/2024;14;Pesados 5 Ejes;DEC;Violación - Normal;Centro;Violación;1;
10/9/2024;14;Pesados 5 Ejes;DEL;Metrobus no hab. TAG Mercado Pago;Provincia;Mercado Pago;3;
10/9/2024;14;Pesados 5 Ejes;DEL;Paso en Infracción;Provincia;Rec.Deuda;8;
10/9/2024;14;Pesados 5 Ejes;DEL;Tag - PosPago;Provincia;Tag;35;
10/9/2024;14;Pesados 5 Ejes;DEL;Tag - PosPago OCR;Provincia;Tag;14;
10/9/2024;14;Pesados 5 Ejes;DEL;Violación - Normal;Provincia;Violación;3;
10/9/2024;14;Pesados 5 Ejes;KDT;Mercado Pago;Centro;Mercado Pago;2;
10/9/2024;14;Pesados 5 Ejes;KDT;Mercado Pago;Provincia;Mercado Pago;2;
10/9/2024;14;Pesados 5 Ejes;KDT;Tag - PosPago;Centro;Tag;82;
10/9/2024;14;Pesados 5 Ejes;KDT;Tag - PosPago;Provincia;Tag;111;
10/9/2024;14;Pesados 5 Ejes;KDT;Tag - PosPago OCR;Centro;Tag;11;
10/9/2024;14;Pesados 5 Ejes;KDT;Tag - PosPago OCR;Provincia;Tag;26;
10/9/2024;14;Pesados 5 Ejes;KDT;Violación - Normal;Provincia;Violación;3;
10/9/2024;14;Pesados 5 Ejes;PB1;Mercado Pago;Provincia;Mercado Pago;5;
10/9/2024;14;Pesados 5 Ejes;PB1;Tag - PosPago;Provincia;Tag;118;
10/9/2024;14;Pesados 5 Ejes;PB1;Tag - PosPago OCR;Provincia;Tag;23;
10/9/2024;14;Pesados 5 Ejes;PB1;Violación - Normal;Provincia;Violación;3;
